cidade,latitude,longitude
IRAUÇUBA,-3.7466828,-39.7840904
SÃO BENEDITO,-4.0479885,-40.8643005
ILHOTA,-26.9022824,-48.8284968
BREVES,-1.68036,-50.479085
CAÇU,-18.5637222,-51.1369685
PONTES E LACERDA,-15.2315171,-59.3349512
SÃO JOAQUIM DA BARRA,-20.5814993,-47.8608238
BIRIGUI,-21.2908491,-50.34144
JAGUARÉ,-18.9058375,-40.0710964
ITAPERUNA,-21.206179900000002,-41.867283935493454
COLÍDER,-10.8094999,-55.4540386
MATÕES DO NORTE,-3.6268881,-44.5547543
TAMBAÚ,-21.70292,-47.270344
TOLEDO,-22.7433969,-46.3735044
BREJINHO DE NAZARÉ,-11.0138265,-48.564626
SANTA RITA DO TRIVELATO,-13.8139517,-55.2721092
GUARANTÃ DO NORTE,-9.9517992,-54.9098178
GOIANÉSIA DO PARÁ,-3.8380998,-49.0977992
ITAÍ,-23.4172598,-49.0935788
SÃO VICENTE,-23.9664177,-46.3861401
IBIRUBÁ,-28.630161,-53.096124
ALTO PARNAÍBA,-9.112506,-45.9310154
IGUARAÇU,-23.1972911,-51.8244524
ITÁPOLIS,-21.5958368,-48.8122696
VILA RICA,-20.385527,-43.5035214
TABOÃO DA SERRA,-23.6121912,-46.7790539
ARAGUAÍNA,-7.193241,-48.2018597
MANTENA,-18.7809937,-40.9808279
CAARAPÓ,-22.6349267,-54.8240903
IVATÉ,-23.4084656,-53.3698352
ROSÁRIO OESTE,-14.825938,-56.42357
COLNIZA,-9.4560637,-59.2197132
PARACATU,-17.2174056,-46.8707514
TEÓFILO OTONI,-17.8579267,-41.5081533
JACAREZINHO,-23.1590428,-49.9739664
SÃO MATEUS,-18.7146049,-39.8539499
ITARIRI,-24.2900711,-47.176151
COROMANDEL,-18.473889,-47.200278
ANTONINA,-25.4298854,-48.7125431
CRUZ ALTA,-28.645056,-53.6058047
SÃO JOSÉ DO RIO CLARO,-13.4467103,-56.7214365
ASSIS BRASIL,-10.9409203,-69.5672108
URUAÇU,-14.5244164,-49.1510022
CAROLINA,-7.3313437,-47.4738762
PARAÍSO DO NORTE,-23.2841185,-52.6024125
CAMPO DO TENENTE,-25.9814143,-49.684518
ELIAS FAUSTO,-23.0416538,-47.3718002
LADÁRIO,-19.0036585,-57.6028285
EDÉIA,-17.3407253,-49.9292351
GUIRATINGA,-16.3457422,-53.7595097
SERRANÓPOLIS,-18.3084565,-51.9569462
JAPERI,-22.6427642,-43.6533831
LEOPOLDO DE BULHÕES,-16.6190479,-48.742755
ITAMBÉ,-15.2435245,-40.6269506
CAMANDUCAIA,-22.755278,-46.144444
TUPACIGUARA,-18.5932122,-48.6999014
ARROIO GRANDE,-29.548078,-52.0971166
SÃO MANOEL DO PARANÁ,-23.394137,-52.645376
RIO GRANDE,-32.0334252,-52.0991297
CAIEIRAS,-23.3644621,-46.7484765
QUIXADÁ,-4.9706021,-39.0158403
RODEIO,-26.9233304,-49.3685354
PARECI NOVO,-29.6386722,-51.3961969
FAXINAL,-24.001212,-51.3222727
MARECHAL THAUMATURGO,-8.9479792,-72.7872614
OROCÓ,-8.6147578,-39.6036988
CANTAGALO,-25.3735238,-52.1238114
PORTO WALTER,-8.2687722,-72.7444458
PIEDADE,-23.7074096,-47.4252319
ESMERALDAS,-19.7613111,-44.3145945
PORTO ESPERIDIÃO,-15.8521665,-58.4693093
CANUTAMA,-6.5330019,-64.3834966
GARIBALDI,-29.2562253,-51.5269167
MANGARATIBA,-22.94159645,-44.11819159272247
BARCELOS,-0.9729214,-62.925635
CABREÚVA,-23.3076663,-47.1324726
FELIXLÂNDIA,-18.7573983,-44.8991465
JACUPIRANGA,-24.6945594,-48.0024027
ITAPORANGA D'AJUDA,-10.9961671,-37.3045841
PACAJUS,-4.171073,-38.464988
GUARARAPES,-21.2542739,-50.6440083
SANTA MARGARIDA DO SUL,-30.339117,-54.0856735
CLÁUDIA,-11.5057202,-54.8763166
PENÁPOLIS,-21.4192406,-50.0765588
JEQUIÉ,-13.8604033,-40.0719627
GRAJAÚ,-5.8154034,-46.1361454
MATA DE SÃO JOÃO,-12.5055734,-38.4832875
IPAUSSU,-23.0544285,-49.6264306
ITAGUARA,-20.391389,-44.488055
BURITI ALEGRE,-18.1377879,-49.0404411
EUNÁPOLIS,-16.3766148,-39.586449
AUTAZES,-3.5833283,-59.1301518
CAMOCIM,-2.9009918,-40.8427389
IBIRÁ,-21.0815104,-49.2424619
ITABORAÍ,-22.7558128,-42.88295606921409
CAMPO MOURÃO,-24.046329,-52.37802
PEROLÂNDIA,-17.5269378,-52.0624546
PARANAÍBA,-19.6751971,-51.1874986
VISCONDE DO RIO BRANCO,-21.01,-42.840833
AMAPORÃ,-23.094272,-52.786597
RIBEIRÃO DAS NEVES,-19.7672898,-44.0875436
ESTÂNCIA,-11.2682255,-37.4378341
SANTA ISABEL,-23.3194222,-46.2271903
ABADIA DE GOIÁS,-16.7584,-49.4383
OURO FINO,-22.283056,-46.369167
GUAPÉ,-20.7619937,-45.9176017
BOM JESUS DOS PERDÕES,-23.1353864,-46.4648052
MONTIVIDIU,-17.450464,-51.1737162
CAMPINA VERDE,-19.535277,-49.486389
CAFEZAL DO SUL,-23.900508,-53.512418
SANTA INÊS,-13.2897697,-39.8179701
CAIABU,-22.0143038,-51.2356597
VILA NOVA DOS MARTÍRIOS,-5.1879409,-48.1377908
RIO PARDO,-29.9820554,-52.3702447
DOM PEDRITO,-30.983755,-54.6746483
BARREIRINHAS,-2.7541271,-42.8259693
ENGENHEIRO BELTRÃO,-23.7996003,-52.2592684
JAPURÁ,-23.469273,-52.55572
AVARÉ,-23.1045215,-48.9259103
MONTE ALEGRE,-1.9989108,-54.0727694
PERUÍBE,-24.3218105,-46.9977452
CAMAQUÃ,-30.8524752,-51.8075619
SÍTIO NOVO,-5.881254,-46.7017184
PARELHAS,-6.691369,-36.6584475
CAMPINAS DO SUL,-27.7167968,-52.6257885
RIO VERDE DE MATO GROSSO,-18.9169208,-54.8410727
RESTINGA SECA,-29.8145611,-53.3734546
FRONTEIRA,-20.286111,-49.202778
TUCURUÍ,-3.7738509,-49.6708204
CALDAS NOVAS,-17.745,-48.625
SÃO PAULO DE OLIVENÇA,-3.4650627,-68.9468462
ESPÍRITO SANTO DO TURVO,-22.6939723,-49.4295067
GUAXUPÉ,-21.3087615,-46.7190609
CAPITÓLIO,-20.6142437,-46.0487652
CÁCERES,-16.0644315,-57.6879744
JATEÍ,-22.4815624,-54.307006
GAMELEIRA,-8.579803,-35.384573
CAMPOS DO JORDÃO,-22.6929855,-45.51849179778157
LAPA,-13.2498754,-43.4101019
MIRANDA,-20.2401082,-56.3844728
PARATY,-23.141541250000003,-44.76107946928248
PEIXOTO DE AZEVEDO,-10.2429203,-54.9919857
PATOS DE MINAS,-18.6041453,-46.5096698
MOGI DAS CRUZES,-23.5234284,-46.1926671
GUAPIAÇU,-20.79663,-49.2253917
PAUINI,-7.7122214,-66.9998441
SENA MADUREIRA,-9.0659556,-68.6571058
EXTREMOZ,-5.7057628,-35.3034765
ENGENHEIRO COELHO,-22.4896659,-47.2119005
BELMONTE,-15.8585465,-38.8820186
PASSO FUNDO,-28.2550598,-52.3966606
ITAUÇU,-16.2035995,-49.6059971
TERESINA DE GOIÁS,-13.7789573,-47.266894
GUARABIRA,-6.8513982,-35.4915582
IPUMIRIM,-27.0762287,-52.135736
BOA VIAGEM,-5.1261877,-39.7300055
ITAPACI,-14.9522349,-49.5511221
TAQUARAÇU DE MINAS,-19.669445,-43.687777
INHAMBUPE,-11.7921718,-38.3596957
CACHOEIRA DO SUL,-30.0482234,-52.8901686
CUNHA,-23.07753,-44.9567436
SEBASTIÃO LEAL,-7.5679515,-44.0648363
SÃO SEBASTIÃO DO PARAÍSO,-20.9124331,-46.9823296
DOMINGOS MARTINS,-20.3646483,-40.6585797
CHORÓ,-4.8435726,-39.1393071
OSÓRIO,-29.8890733,-50.2740498
PLANALTINA,-15.4571536,-47.6089024
ITAPEMA,-27.09472,-48.6137778
CARIDADE,-4.2316487,-39.1946515
PORTO FELIZ,-23.2110713,-47.5247163
PAULA FREITAS,-26.2092739,-50.936462
CAIRU,-13.4864481,-39.0447291
GUARATUBA,-25.8806192,-48.5750905
TIMON,-5.1004341,-42.8312018
SERRA DOURADA,-12.758418,-43.9500907
BOM DESPACHO,-19.7375242,-45.2517288
MATINHOS,-25.8187096,-48.534204
CUMARU DO NORTE,-7.8122669,-50.7677675
NOVA PRATA,-28.7849383,-51.6091999
BOM JESUS DO GALHO,-19.8283191,-42.3162256
TORRES,-29.3373663,-49.7299648
PARAUAPEBAS,-6.0696846,-49.8903283
CHAPADÃO DO LAGEADO,-27.590507,-49.553879
BRASILÂNDIA,-21.255575,-52.0365617
ESPÍRITO SANTO DO DOURADO,-22.046666,-45.950833
CAÇAPAVA DO SUL,-30.5113286,-53.4916761
PARNAÍBA,-2.9147515,-41.7661953
TATUÍ,-23.3489848,-47.8490165
ÁGUA LIMPA,-18.0755648,-48.7620637
FIGUEIRÓPOLIS,-12.1347916,-49.1737141
ITANHAÉM,-24.1848847,-46.7921572
ESTEIO,-29.8511627,-51.1778852
UBAPORANGA,-19.6344637,-42.1073048
IRAÍ DE MINAS,-18.9865339,-47.4642202
CAMPO FLORIDO,-19.760833,-48.572223
QUARTO CENTENÁRIO,-24.27904,-53.075881
VINHEDO,-23.0298535,-46.9749847
LIMA DUARTE,-21.842777,-43.792777
NOVA OLINDA DO NORTE,-3.8926889,-59.0953046
JANDAIA,-17.0479665,-50.1475485
NOSSA SENHORA DO LIVRAMENTO,-15.7725185,-56.3442904
LIMEIRA DO OESTE,-19.5521959,-50.5772673
IPATINGA,-19.4777807,-42.5270802
NOVA ESPERANÇA,-23.1818437,-52.1999852
RECURSOLÂNDIA,-8.7368677,-47.2416349
JANAÚBA,-15.8019291,-43.309246
ROSÁRIO,-30.2527151,-54.9179382
SANTANA DO ARAGUAIA,-9.3348334,-50.3427734
SETUBINHA,-17.6001378,-42.1620269
NOVA IGUAÇU,-22.7592175,-43.4508728
MARAGOGI,-9.0118278,-35.222512
AVANHANDAVA,-21.4603331,-49.9465156
JABOTICABAL,-21.252037,-48.325223
CIANORTE,-23.662036,-52.6103989
AGUDO,-29.6423259,-53.2494005
SANTA RITA DO NOVO DESTINO,-15.1350719,-49.1202541
ENTRE-IJUÍS,-28.361628,-54.2670019
ITAPETININGA,-23.588607,-48.048326
PORTO UNIÃO,-26.2336416,-51.082771
RIBEIRÃO CASCALHEIRA,-12.878827399999999,-51.579945038738146
MATA,-29.5637643,-54.4590898
ITABELA,-16.5742292,-39.5619193
QUATRO IRMÃOS,-27.8229301,-52.4427548
SÃO FRANCISCO DE SALES,-26.3716472,-52.4720554
PEDRALVA,-22.2428119,-45.4659922
SÃO SEBASTIÃO DA BOA VISTA,-1.4308526,-49.6045081399201
CATALÃO,-18.1702546,-47.9447082
MUCURI,-18.0787156,-39.5469886
ARARAQUARA,-21.7886713,-48.1773096
BELTERRA,-2.636091,-54.937392
SÃO LUÍS DE MONTES BELOS,-16.5210639,-50.3726281
BONFIM,3.3613818,-59.8427241
NOVO AIRÃO,-2.6260236,-60.9434406
RIO NEGRINHO,-26.259075,-49.517746
BARÃO,-29.372474,-51.494908
MOSTARDAS,-31.10538,-50.916692
BOA VISTA DA APARECIDA,-25.4357216,-53.4067721
GOIÁS,-15.9323662,-50.1392928
ORÓS,-6.2427541,-38.9141151
FLORESTÓPOLIS,-22.8663942,-51.3905121
ARANDU,-23.1345103,-49.0545651
CARATINGA,-19.7900887,-42.140533
UBARANA,-21.1637674,-49.7167796
TUCUMÃ,-6.7517239,-51.1507941
TELÊMACO BORBA,-24.3282939,-50.6318021
BAEPENDI,-21.9575733,-44.8891463
CATUTI,-15.3597,-42.9628
VENÂNCIO AIRES,-29.614306,-52.193159
IPERÓ,-23.3508977,-47.687611
COTIA,-23.603889,-46.918889
COROATÁ,-4.1282283,-44.1360269
CAMBÉ,-23.2782035,-51.2779583
OURO,-27.3389051,-51.6137785
COXIM,-18.504915,-54.7450251
UIRAMUTÃ,4.5958269,-60.1624807
BARRO ALTO,-11.7618025,-41.9094904
ITAPEVA,-23.9849105,-48.8803886
ITAPIRA,-22.436111,-46.821667
MARILUZ,-24.0031216,-53.148113
SÃO JOSÉ DO RIO PARDO,-21.595288,-46.887303
NITERÓI,-22.8884,-43.1147
PEDRA PRETA,-16.6230015,-54.4761228
POÇOS DE CALDAS,-21.7900318,-46.5647928
PORTO ALEGRE DO NORTE,-7.7882062,-72.0813115
ARAUCÁRIA,-25.5861107,-49.4051209
VILA PROPÍCIO,-15.4558431,-48.8855024
POXORÉO,-15.9947484,-54.3152063
COLATINA,-19.5346732,-40.6287836
NORTELÂNDIA,-14.4518972,-56.8043752
BOTUCATU,-22.8879628,-48.4410712
CARAVELAS,-17.7296514,-39.2660082
SÃO SEPÉ,-30.167219,-53.5690914
SERTANÓPOLIS,-23.0600434,-51.0373544
GUAÍBA,-30.1130731,-51.329442
ITUPEVA,-23.1531055,-47.0580347
MONTE DO CARMO,-10.7647456,-48.1121813
QUERÊNCIA DO NORTE,-23.083758,-53.483022
MOGI MIRIM,-22.433123,-46.958246
BURITAMA,-21.0664017,-50.1448077
SÃO LOURENÇO,-22.116389,-45.054167
PALMARES DO SUL,-30.2580247,-50.5097954
CORINTO,-18.363056,-44.456111
CRUZ MACHADO,-26.0184626,-51.3503171
SÃO LOURENÇO DA SERRA,-23.8535923,-46.9440587
LAJEADO GRANDE,-26.8583425,-52.5666619
VALE VERDE,-29.7830651,-52.1843582
TAPERA,-28.6262957,-52.8680873
TRIUNFO,-29.9407972,-51.7191859
JOAÇABA,-27.1737204,-51.5065214
SANTO AMARO DA IMPERATRIZ,-27.6865324,-48.7769405
NOVA GRANADA,-20.5345426,-49.3186951
ESPUMOSO,-28.7256962,-52.8453751
CORIBE,-13.828471,-44.45727
ARAMBARÉ,-30.9132252,-51.4994625
NOVA ODESSA,-22.7805746,-47.2993805
JUQUIÁ,-24.3172209,-47.6355618
CAMPINÁPOLIS,-14.5403731,-52.7970626
ARACRUZ,-19.8245218,-40.2735025
OURO BRANCO,-6.703294,-36.9429599
ANAMÃ,-3.5797356,-61.4049996
BARBACENA,-21.2254524,-43.7735087
ALTO PARANÁ,-23.131247,-52.318893
NAZÁRIO,-16.5807689,-49.881671
JANUÁRIA,-15.4875,-44.361111
VALENÇA DO PIAUÍ,-6.4048149,-41.7382812
URANDI,-14.7680766,-42.6573988
SÃO JOSÉ DO XINGU,-10.803888,-52.7357819
PIRAPORA,-17.3493765,-44.9507904
VOLTA REDONDA,-22.521856,-44.1040128
IMBUIA,-27.49082,-49.421766
CORUMBAÍBA,-18.1348982,-48.564223
ARENÁPOLIS,-14.460185,-56.8436668
SANTA TEREZINHA DE ITAIPU,-25.4390809,-54.4019902
JAURU,-15.3407762,-58.8683137
JABORANDI,-20.6921079,-48.4144076
PORTO DE MOZ,-1.7502089,-52.235556
DENISE,-14.7292165,-57.0482981
JAGUARIPE,-13.1147557,-38.8944977
BEBERIBE,-4.1810469,-38.1298101
OEIRAS,-7.0174887,-42.1314478
CRISTALÂNDIA,-10.59848,-49.194202
PALMEIRA DAS MISSÕES,-27.9010519,-53.3135927
ITAQUI,-29.1222037,-56.5551258
ÁGUA CLARA,-20.4385757,-52.8797496
ITATIBA,-23.0055542,-46.8397726
SALGUEIRO,-8.0726731,-39.1269719
JAGUAPITÃ,-23.1102516,-51.5327741
SÃO PEDRO DO SUL,-29.62712705,-54.17332495204816
TOROPI,-29.478246,-54.224398
MESÓPOLIS,-19.9662274,-50.6190438
SETE BARRAS,-24.3878438,-47.9265798
IBIPORÃ,-23.2684137,-51.0475907
BARRA BONITA,-22.490859,-48.558349
ITOBI,-21.730853,-46.9743
VARJÃO DE MINAS,-18.3791473,-46.030627
CAMETÁ,-2.242949,-49.497885
MONTES CLAROS DE GOIÁS,-16.0059459,-51.3978781
IGARAPAVA,-20.0411748,-47.7476682
SERTÃOZINHO,-21.1375782,-47.9913741
ITABERÁ,-23.8621345,-49.1398926
PALOTINA,-24.2839929,-53.8405463
JUSCIMEIRA,-16.0517819,-54.8893514
LOUVEIRA,-23.08639,-46.95056
JALES,-20.2671767,-50.5492435
AGUAÍ,-22.0592036,-46.979384
PLANALTO DA SERRA,-14.6627994,-54.7756232
SÃO VICENTE DO SUL,-29.7220148,-54.64257794648333
MIRACATU,-24.2839078,-47.4535128
SIRINHAÉM,-8.591935,-35.1155161
TAIPU,-5.6228594,-35.5991764
JAGUARÃO,-32.5662724,-53.3765705
GUARDA-MOR,-17.7698233,-47.0986827
GUARANÉSIA,-21.3024827,-46.7956962
MIRASSOL,-20.8141411,-49.507449
CEARÁ-MIRIM,-5.633588,-35.4248407
TRAJANO DE MORAES,-22.0637911,-42.0644414
ITAPIPOCA,-3.499329,-39.583571
GUARANI,-21.35876,-43.0481021
JARDIM,-21.479941,-56.148902
CATAS ALTAS,-20.0748989,-43.4078304
VERA CRUZ,-22.2212638,-49.8243021
SANTA RITA DE CÁSSIA,-11.0013969,-44.5209684
CASA BRANCA,-21.7743137,-47.0852175
LAVÍNIA,-21.1665477,-51.0410539
COLINAS DO TOCANTINS,-8.0612688,-48.4716768
MARIÁPOLIS,-21.7966708,-51.1831475
PACAEMBU,-21.566243,-51.2633114
SÃO JOSÉ DOS AUSENTES,-28.747731,-50.0645582
SANTA ISABEL DO IVAÍ,-23.0013818,-53.1940876
CAMPO BELO,-20.8975,-45.277223
TUMIRITINGA,-18.976946,-41.645851
CONSELHEIRO LAFAIETE,-20.6596107,-43.785743
IBATÉ,-21.9554092,-47.9989614
CHAPADA DOS GUIMARÃES,-15.464343,-55.749857
PORTEL,-1.9387118,-50.8240402
MAUÁ DA SERRA,-23.9045517,-51.2261166
SIQUEIRA CAMPOS,-23.687481,-49.830416
CANOAS,-29.9216045,-51.1799525
ASSIS CHATEAUBRIAND,-24.4054826,-53.5120468
ATALAIA DO NORTE,-4.3658547,-70.1908742
JABOATÃO DOS GUARARAPES,-8.1752476,-34.9468716
SANTO ANTÔNIO DE GOIÁS,-16.4861723,-49.3093885
TERRA ROXA,-20.787015,-48.331442
VIÇOSA,-20.7538586,-42.8815888
ROCHEDO,-19.956488,-54.884769
PACARAIMA,4.4787884,-61.1389799
CABECEIRA GRANDE,-16.0297,-47.0906
IBATEGUARA,-8.9737196,-35.9279963
AFONSO CLÁUDIO,-20.0744817,-41.1251335
VARGEM BONITA,-20.3282116,-46.3668419
CAMBARÁ,-23.042273,-50.075281
SERRA,-20.1252961,-40.3064477
CONFRESA,-10.643695,-51.569873
PINDORAMA,-10.3333333,-53.2
PIRAÍ DO SUL,-24.5346602,-49.9399216
ASSUNÇÃO DO PIAUÍ,-5.8608718,-41.0492387
CARAPICUÍBA,-23.5234673,-46.8406808
GUARACIABA DO NORTE,-4.1632924,-40.7495985
ARAGUARI,-18.6511256,-48.1933764
CAIAPÔNIA,-16.9538779,-51.8090761
PRINCESA ISABEL,-7.736898,-37.9921335
MAUÉS,-3.3795798,-57.7196072
CHAVES,-0.164154,-49.987006
BUENO BRANDÃO,-22.441421,-46.3475825
MOGI GUAÇU,-22.372222,-46.9425
TAPIRA,-23.323146,-53.0712033
GOIOERÊ,-24.1851885,-53.0250623
CAMPINAS DO PIAUÍ,-7.6593687,-41.8814875
ALCÂNTARA,-2.4084996,-44.4174143
CONCEIÇÃO DA FEIRA,-12.5013001,-39.0002166
ITU,-23.2637798,-47.2998462
SANTA MÔNICA,-23.1085921,-53.1103971
BAIXA GRANDE DO RIBEIRO,-7.862861,-45.2113289
PRESIDENTE OLEGÁRIO,-18.415,-46.419723
TIRADENTES,-21.1104688,-44.1742937
CORNÉLIO PROCÓPIO,-23.1825218,-50.6499263
LAGOA FORMOSA,-18.7741896,-46.4082511
BERTIOGA,-23.848568,-46.139586
SÃO GABRIEL DA CACHOEIRA,-0.1249715,-67.0813855
BARCARENA,-1.5107945,-48.6190679
TERRA BOA,-23.768329,-52.447002
FLORESTA,-23.6144046,-52.0819003
MACARANI,-15.5610861,-40.4226078
CORREIA PINTO,-27.587688,-50.361448
BARRA DO RIBEIRO,-30.2930206,-51.301437
SANTANA DO PARAÍSO,-19.3652914,-42.5494833
PIRACURUCA,-3.9304804,-41.7150099
CIDADE GAÚCHA,-23.3816558,-52.9444098
RORAINÓPOLIS,0.9387308,-60.4236464
JUATUBA,-19.954001,-44.3407921
MARAU,-28.4493053,-52.2002156
GRAVATÁ,-8.1993049,-35.5631137
SENADOR JOSÉ PORFÍRIO,-2.5935424,-51.948209
BOQUIRA,-12.8184859,-42.7270883
PINHÃO,-25.6960895,-51.6566366
VERANÓPOLIS,-28.9351239,-51.5519175
FAMA,-21.4090398,-45.8322579
EIRUNEPÉ,-6.6567654,-69.866161
CAMPINA GRANDE,-7.2246743,-35.8771292
NAZARÉ PAULISTA,-23.1819309,-46.3992986
SÃO JOÃO DA BOA VISTA,-22.0135772,-48.849187
BOA VISTA DO TUPIM,-12.6605988,-40.6083594
CANDÓI,-25.5711951,-52.051107
GOIANIRA,-16.5001973,-49.4254788
LAURO DE FREITAS,-12.89242,-38.3127691
MARANGUAPE,-3.8922967,-38.6835427
PETROLINA DE GOIÁS,-16.1005783,-49.3359066
BOA VISTA DO RAMOS,-2.952575,-57.53153793940302
MANAQUIRI,-3.4305885,-60.4593078
OUROESTE,-20.0013584,-50.3736414
SCHROEDER,-26.411571,-49.074041
MAIRIPORÃ,-23.3190348,-46.5876377
BARRA DO PIRAÍ,-22.42426915,-43.893524444097466
ITABAIANA,-7.3299566,-35.3359995
JOÃO MONLEVADE,-19.809444,-43.173334
GUARIBA,-21.35938,-48.23158
JOSÉ BONIFÁCIO,-27.6350709,-52.2738654
ITAMARAJU,-17.0363103,-39.527994
DIADEMA,-23.6866428,-46.6246935
SÃO JOÃO DO POLÊSINE,-29.6156424,-53.4455412
CABEDELO,-6.97324,-34.8351609
BATATAIS,-20.892867,-47.592149
CAICÓ,-6.4594544,-37.0971911
MIRANORTE,-9.529068,-48.592222
VALENÇA,-13.3723582,-39.0694243
ALTO PARAGUAI,-14.513712,-56.4936374
TAQUARUSSU,-22.4870022,-53.3524041
SANTA RITA DO ARAGUAIA,-17.3269099,-53.2012361
POTIRENDABA,-21.0457369,-49.3767154
HUMBERTO DE CAMPOS,-2.598282,-43.464877
COTRIGUAÇU,-9.9034364,-58.5658915
CORGUINHO,-19.827429,-54.8322243
CAMPO BONITO,-25.0328004,-52.992976
NOVA RAMADA,-28.0820908,-53.7063919
BRAGANÇA,-1.0574255,-46.7635232
SILVÂNIA,-16.6599718,-48.608326
TURMALINA,-17.286102,-42.7312574
SANTA MARIA MADALENA,-21.9518563,-41.900024844029616
PARANAGUÁ,-25.5148822,-48.5226695
BARRA DO GARÇAS,-15.8916033,-52.2615413
BAIXO GUANDU,-19.5138322,-41.0182089
MATRIZ DE CAMARAGIBE,-9.154373,-35.524302
TERRA RICA,-22.7264874,-52.6202541
SÃO BERNARDO DO CAMPO,-22.3427465,-46.9431624
SANTA CRUZ DO RIO PARDO,-22.9060715,-49.6277378
JARINU,-23.0949649,-46.7148565
MUCUGÊ,-13.0053,-41.370271
FERNANDO DE NORONHA,-3.8545643,-32.37861623300567
NOVA PONTE,-19.1692213,-47.6717642
ROSÁRIO DO SUL,-30.2527151,-54.9179382
VENDA NOVA DO IMIGRANTE,-20.3325787,-41.1295842
PROMISSÃO,-21.5404913,-49.8574709
COTEGIPE,-12.0315387,-44.260401
SANTO ANTÔNIO DO ARACANGUÁ,-20.9354866,-50.4953504
SERRANO DO MARANHÃO,-1.8535718,-45.1158856
SÃO CAETANO DO SUL,-23.6195923,-46.5688323
MIGUELÓPOLIS,-20.179612,-48.030997
COSMÓPOLIS,-22.6437398,-47.1972086
BANANEIRAS,-6.7537682,-35.6338343
CABROBÓ,-8.5083701,-39.3106961
CACHOEIRO DE ITAPEMIRIM,-20.848084,-41.11129
SIMPLÍCIO MENDES,-7.860528,-41.9081183
IGUATEMI,-23.673555,-54.563731
JATAIZINHO,-23.257815,-50.977748
PARNAMIRIM,-5.9153334,-35.2679913
HERCULÂNDIA,-22.004508,-50.3862746
ÁGUAS INTERNACIONAIS,-27.12512365,-52.6853912295564
FONTE BOA,-2.5467059499999998,-66.915259025
MANICORÉ,-5.804618,-61.289483
PIRASSUNUNGA,-21.9980468,-47.4280861
CASTRO,-24.794072,-49.9972914
NOVA INDEPENDÊNCIA,-21.1066536,-51.4910804
ICÉM,-20.3413103,-49.1970982
BONITO,-11.9665473,-41.2649896
PIUM,-10.4421368,-49.1747741
CORUMBÁ DE GOIÁS,-15.9268355,-48.8074659
PALMEIRAS DE GOIÁS,-16.8102393,-49.9234165
LAJEADO NOVO,-6.1898777,-47.0325965
SÃO VICENTE FERRER,-2.8927449,-44.8803633
ENVIRA,-7.437889,-70.028143
ANAJÁS,-0.9878802,-49.9390114
PRESIDENTE VENCESLAU,-21.877116,-51.8451047
ALFREDO CHAVES,-28.9351239,-51.5519175
PRESIDENTE BERNARDES,-20.7685467,-43.1877237
GUARAMIRANGA,-4.2615779,-38.9340115
ORIZONA,-17.0333812,-48.2963748
FIGUEIRÃO,-18.67821,-53.6379864
ITAPIRAPUÃ,-15.8204999,-50.6094341
SANTA CRUZ DAS PALMEIRAS,-21.823475,-47.248023
JAÍBA,-15.3373744,-43.6734439
VITÓRIA BRASIL,-20.1978821,-50.4847947
PEREIRA BARRETO,-20.6378509,-51.1052172
SACRAMENTO,-19.8652854,-47.4402746
TIROS,-19.003889,-45.963611
PRADÓPOLIS,-21.3597815,-48.0746603
CHAPADA,-28.0587829,-53.0657459
GUARACI,-20.4976771,-48.9452074
LAGUNA,-28.4837443,-48.7816572
CERES,-15.3103568,-49.6032054
CÂNDIDO MOTA,-22.7434964,-50.38924
CARAGUATATUBA,-23.62028,-45.41306
